"BehaviorSpace results (NetLogo 6.1.0)"
"TECSecurityUI-V2021-05-28 (1).nlogo"
"nu_of_links_2_3_4"
"06/06/2021 14:19:38:615 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"100","0.002","7","false","0.02","5","3","700","false","high temperature rise","0.01","4","10","239","61","0.638","0.5305714285714282","57.93742068601918","31.062471931445266","0.09067283052044815","133.85745678244785"
"101","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","41.8","0.658","0.52","56.644259996907785","30.431148117667558","0.08952681069979462","130.90731475822645"
"102","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","56.2","0.6360000000000001","0.5314285714285716","57.80594335820583","30.7665920664553","0.08671079355602417","133.26397611300663"
"103","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","41.8","0.6679999999999999","0.5071428571428571","57.17393604564927","30.45390381163048","0.09263076114541491","131.6812572969327"
"104","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","51.4","0.646","0.5065714285714287","49.41345096501574","38.52047649798351","0.08204193996490261","132.38125622054318"
"105","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","44.2","0.622","0.532","56.94061128279082","30.907757929696093","0.09503423330318413","131.99350725853967"
"106","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","46.6","0.6540000000000001","0.5225714285714287","57.36362325658182","30.045043790787492","0.10316711028493586","131.16136620699976"
"107","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.612","0.5508571428571427","62.012835226373085","25.437734337126642","0.0830669576058142","131.61095005423255"
"108","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","46.6","0.668","0.5205714285714285","55.57036713790689","32.33821244899203","0.09454777897188649","132.0883765832608"
"109","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","46.6","0.6420000000000001","0.5225714285714287","54.19362272358386","33.15089432270821","0.0880768147523483","131.35818884384182"
"110","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.662","0.5285714285714285","60.0791303757267","27.9851020115131","0.08846196742828455","132.4240306117519"
"111","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.662","0.5305714285714287","59.25862484692486","28.674914892531472","0.08604898456903243","132.2648410030635"
"112","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.6719999999999999","0.5211428571428574","61.947125960882175","25.40523534168647","0.10464692779105178","131.0052854521152"
"113","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","51.4","0.632","0.5294285714285714","48.70262868620425","39.5686712685778","0.10111806545697136","132.52806400832065"
"114","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","39.4","0.6559999999999999","0.5294285714285714","59.340879108191984","28.061990433999927","0.09399153917935195","131.31531457355575"
"115","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.6599999999999999","0.5337142857142858","59.64781475057725","28.034416584416586","0.09805368575226936","131.65143136431982"
"116","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","49","0.6020000000000001","0.524","56.37934369610604","30.528527844358376","0.06845744248245182","131.11144499955765"
"117","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","46.6","0.64","0.5314285714285716","56.60186234885711","31.059221648569597","0.10075474469850434","131.61841310206188"
"118","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","41.8","0.6599999999999999","0.5154285714285716","56.86476478955926","31.06777113394033","0.09366020548092138","132.1295956721275"
"119","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.666","0.528285714285714","62.560408929191766","25.19016279636965","0.11749337108678902","131.36617271715306"
"120","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.664","0.5274285714285716","62.30380666226371","24.9281871466289","0.10980109467681701","130.72042145963798"
"121","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.674","0.520285714285714","59.72162424284411","27.777104985547815","0.0911780795739901","131.49714061090123"
"122","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.6380000000000001","0.5345714285714283","61.92326809422111","24.888396950779473","0.08172859166909348","130.65637604360214"
"124","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.6619999999999999","0.5131428571428573","59.175736433460216","28.09591451788255","0.098293613079737","131.00774861142105"
"123","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","61","0.6679999999999999","0.5068571428571427","50.179517945204694","39.20191333083272","0.10696880564649121","134.09373009738744"
"125","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.692","0.5045714285714284","59.3756416409796","27.594713996835793","0.08052252699483375","130.8961013648654"
"126","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","39.4","0.668","0.5148571428571427","56.415157561989474","31.465381051580458","0.09062248356950278","132.1018873921019"
"127","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.646","0.5220000000000002","59.05668272535785","28.01864635503776","0.07810480390062652","131.12527271167"
"128","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","51.4","0.6380000000000001","0.5265714285714282","49.30462129333381","38.838902095641146","0.08823294363454864","132.58778866699134"
"129","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","39.4","0.632","0.5271428571428571","55.98535514201198","31.602433393233444","0.0780625402245761","131.9132424296353"
"130","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","51.4","0.6420000000000001","0.5174285714285718","52.42396744381929","35.376603596104395","0.09328642080026697","131.95747725859803"
"131","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.6719999999999999","0.5202857142857145","60.24884554098501","28.190658697954607","0.09949402722738228","132.779658205452"
"132","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.66","0.5300000000000002","62.89196707918076","24.456432003286704","0.08512507819184806","131.39800742425825"
"133","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","61","0.65","0.5331428571428569","49.50336812083006","39.64179733649689","0.10372459179136939","133.81960947369654"
"134","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","51.4","0.6839999999999999","0.4985714285714282","56.63187106072548","32.203327105344734","0.11480690825981697","133.0982905848036"
"135","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","44.2","0.6679999999999999","0.5022857142857142","57.412669427608435","30.3358703900935","0.10113748055750166","131.6973173729768"
"136","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","41.8","0.6439999999999999","0.5091428571428569","57.01135809105896","31.041580282847487","0.08147249364375427","132.5554412580772"
"137","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","39.4","0.6500000000000001","0.524","56.565652975573634","31.219258873374166","0.08097362527938685","132.16160586742788"
"138","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.638","0.5391428571428571","58.65423579873014","28.84111301606761","0.07638015862646769","131.80627728381972"
"139","0.002","7","false","0.02","5","4","700","false","high temperature rise","0.01","4","10","239","37","0.676","0.5217142857142854","59.17197776150624","28.061667034762355","0.09039074879435703","131.11266567887512"
