"BehaviorSpace results (NetLogo 6.2.0)"
"TECSecurityUI-V2021-05-28.nlogo"
"info_exchange_5_7_9"
"06/06/2021 13:21:08:226 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","co2-tax-increase-rate","information-exchange-period","Insulation-Inputting","rewire-prob","no-of-neighborhoods","number-of-links","neighborhood-size","Value-Inputting","climate-change-scenario","gas-price-increase-scenario","annual-subsidy-budget","percentage-loss-per-svo","[step]","mean community-formation-time-list","mean energy-diversity","insulation-improvement","total-costs-per-household","direct-net-benefits-per-household","indirect-net-benefits-per-household","total-co2-per-household"
"77","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.622","0.5437142857142856","61.265198245431655","26.315274410028852","0.09093219263939858","131.65754285356115"
"78","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.624","0.5282857142857145","58.23567050722253","29.14081134441614","0.0835495504835862","131.47969432762972"
"79","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.61","0.5237142857142856","57.552885103105496","29.37802596038125","0.08990387800349141","130.66696164627965"
"81","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.602","0.5505714285714287","60.853994909380475","26.171759786979255","0.08148325430150294","131.00389298936688"
"82","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5780000000000001","0.5477142857142856","60.29933625525671","26.129760284321158","0.08669150489042324","129.98159456489014"
"83","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.5279999999999999","0.5594285714285716","57.535840486602716","30.32072933636919","0.08145203868452314","132.32781011916666"
"80","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.5680000000000001","0.5408571428571429","54.978601929873534","32.182314146107124","0.07761761181885163","131.33020780330526"
"84","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","51.4","0.592","0.5394285714285716","58.87804201048263","27.843430444996397","0.08020267522149567","130.58392171382383"
"85","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.568","0.5431428571428571","45.83231883419252","42.5949053038283","0.10088338645359443","132.80427494949944"
"86","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5780000000000001","0.5411428571428569","57.17747848593046","29.421186790799887","0.0836208437585711","130.3019636010193"
"88","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","56.2","0.5740000000000001","0.5471428571428572","57.52541460725163","30.362506581891687","0.07597531688497555","132.4532731662689"
"87","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6100000000000001","0.5405714285714289","61.601617800718884","25.86164425309323","0.07950570757081864","131.6960394795361"
"89","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.562","0.5414285714285714","57.033708030502325","29.820675253376578","0.08159694299320962","130.7371363782309"
"90","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","63.4","0.588","0.5425714285714287","61.758637666014984","27.34218914603169","0.07239049696133436","134.3733819655352"
"91","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.6","0.5485714285714285","47.061161612955104","41.95367437592368","0.1062250300436432","133.58727689912718"
"92","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","49","0.5680000000000001","0.5485714285714285","62.774433533703196","24.222609302091957","0.07472524645393434","131.12563610266739"
"93","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5980000000000001","0.5654285714285714","61.52736541270598","26.600548288807587","0.09352022034895811","132.45235593032234"
"95","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.6","0.5328571428571425","57.21473829717121","29.51927689671981","0.0904276661858944","130.36031975167882"
"97","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","46.6","0.6220000000000001","0.5319999999999996","62.92610114144567","24.52932400876796","0.08819288875481704","131.53386647093558"
"94","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.5860000000000001","0.5494285714285714","57.07706765944056","29.727773221303465","0.09187375745787706","130.4731520532233"
"98","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.584","0.5497142857142858","61.005884994656896","26.278059277098208","0.08597848015460699","131.30510261913008"
"96","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.604","0.5374285714285714","58.34243422134342","29.519336676963647","0.08606228709119677","132.1692460637315"
"100","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.5820000000000001","0.5634285714285716","61.30766774738046","26.413890574748013","0.09345522850424573","131.84019221562957"
"99","0.002","7","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","61","0.5840000000000001","0.5411428571428569","46.70072295212658","42.03855749232177","0.09662264177330115","133.36338849389873"
"102","0.002","9","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.65","0.5317142857142856","61.659875622288844","25.963275177032923","0.09867745029123115","131.55257724417558"
"101","0.002","9","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","39.4","0.626","0.5340000000000003","57.7975163268307","29.079931273229448","0.08859899810468193","130.6258659109222"
"103","0.002","9","false","0.02","5","2","700","false","high temperature rise","0.01","4","10","239","37","0.582","0.5408571428571429","57.382871214001604","29.6441470900031","0.0764082361133987","131.10551505947825"
